SampleID,ReadsID,Base,MeanQualityScore,,Mean,Count,StdDev,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,195-199,33.42549719,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,200-204,33.64970157,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,205-209,33.64597444,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,210-214,33.19329953,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,215-219,33.08497502,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,220-224,32.823878,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,225-229,33.06515942,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,230-234,32.48126196,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,235-239,32.21613163,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,240-244,31.86231604,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,245-249,31.5860547,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,250,32.48312994,,34.10891108,62,0.976899455,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,100-104,34.94225938,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,105-109,34.87902162,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,110-114,34.67433621,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,115-119,34.47434607,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,120-124,34.41628603,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,125-129,34.45969197,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,130-134,34.45647183,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,135-139,34.33164601,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,140-144,34.45482696,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,145-149,34.15449241,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,150-154,34.12692847,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,155-159,34.18671303,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,160-164,34.25261857,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,165-169,33.82929239,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,170-174,34.03387559,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,175-179,34.37383614,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,180-184,33.39230115,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,185-189,34.08246355,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,190-194,33.37140489,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,195-199,33.4302347,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,200-204,33.29701268,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,205-209,33.52655337,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,210-214,33.48217633,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,215-219,33.27444974,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,220-224,33.32942492,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,225-229,33.29333059,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,230-234,33.12414919,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,235-239,33.23303652,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,240-244,32.7128433,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,245-249,32.90705095,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R1,250,32.86185616,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,100-104,34.65912927,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,105-109,34.40096584,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,110-114,34.40615809,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,115-119,34.13890278,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,120-124,34.403236,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,125-129,34.28771186,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,130-134,34.12027108,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,135-139,34.29905049,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,140-144,34.39362775,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,145-149,34.3155629,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,150-154,34.37934377,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,155-159,34.27354348,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,160-164,33.99951184,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,165-169,33.99895345,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,170-174,33.51617553,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,175-179,33.19813406,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,180-184,32.81469294,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,185-189,32.01659295,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,190-194,32.24847244,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,195-199,32.26113324,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,200-204,31.9610461,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,205-209,31.80934816,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,210-214,32.1769487,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,215-219,31.46294828,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,220-224,32.93572704,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,225-229,31.70228611,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,230-234,33.03209771,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,235-239,31.5042052,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,240-244,30.87898576,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,245-249,32.64173773,,,,,,,,,,,,,,,,,,,,,,
1n2,SLF_1n2_R2,250,33.26755088,,33.53014487,62,0.968836167,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,100-104,35.00000764,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,105-109,35.03236308,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,110-114,34.789112,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,115-119,34.57639385,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,120-124,34.51136708,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,125-129,34.52293272,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,130-134,34.50576225,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,135-139,34.3786097,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,140-144,34.36416013,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,145-149,34.1948544,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,150-154,34.23050708,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,155-159,34.16360473,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,160-164,34.13958574,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,165-169,33.88709729,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,170-174,34.03053458,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,175-179,34.25366239,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,180-184,33.54136376,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,185-189,33.96255454,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,190-194,33.56995944,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,195-199,33.5044282,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,200-204,33.36845842,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,205-209,33.38916989,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,210-214,33.30549451,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,215-219,33.13056595,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,220-224,33.22301915,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,225-229,33.08604352,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,230-234,32.84391577,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,235-239,32.84042762,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,240-244,32.41505784,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,245-249,32.54551132,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R1,250,32.29881127,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,100-104,34.69886013,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,105-109,34.51866346,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,110-114,34.5147941,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,115-119,34.29678297,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,120-124,34.50384519,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,125-129,34.31347114,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,130-134,34.15383917,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,135-139,34.26404173,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,140-144,34.29746066,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,145-149,34.31653052,,,,,,,,,,,,,,,,,,,,,,
1n3,SLF_1n3_R2,150-154,34.40264152,,,,,,,,,,,,,,,,,,,,,,
